epoch:0, lr:2.4968057921635433e-05, train_loss:1.015291, test_loss:0.975971
epoch:80, lr:0.0004689805069851689, train_loss:0.634542, test_loss:0.676395

epoch:81, lr:0.0004679771767335074, train_loss:0.634338, test_loss:0.675510

epoch:82, lr:0.0004669589860778263, train_loss:0.633882, test_loss:0.675768

epoch:83, lr:0.00046592600443238596, train_loss:0.633553, test_loss:0.675665

epoch:84, lr:0.0004648783022198099, train_loss:0.632997, test_loss:0.675086

epoch:85, lr:0.00046381595086628286, train_loss:0.632635, test_loss:0.674611

epoch:86, lr:0.00046273902279668255, train_loss:0.632794, test_loss:0.673694

epoch:87, lr:0.0004616475914296414, train_loss:0.632498, test_loss:0.674745

epoch:88, lr:0.0004605417311725415, train_loss:0.631979, test_loss:0.673475

epoch:89, lr:0.0004594215174164418, train_loss:0.631598, test_loss:0.673737

epoch:90, lr:0.0004582870265309387, train_loss:0.631613, test_loss:0.674141

epoch:91, lr:0.00045713833585895957, train_loss:0.631129, test_loss:0.673368

epoch:92, lr:0.00045597552371148955, train_loss:0.630924, test_loss:0.673286

epoch:93, lr:0.00045479866936223325, train_loss:0.630445, test_loss:0.672530

epoch:94, lr:0.00045360785304220997, train_loss:0.630283, test_loss:0.673134

epoch:95, lr:0.0004524031559342846, train_loss:0.629878, test_loss:0.671714

epoch:96, lr:0.00045118466016763213, train_loss:0.630143, test_loss:0.671598

epoch:97, lr:0.00044995244881213946, train_loss:0.629649, test_loss:0.671433

epoch:98, lr:0.00044870660587274157, train_loss:0.629350, test_loss:0.671418

epoch:99, lr:0.00044744721628369507, train_loss:0.629478, test_loss:0.671348

epoch:100, lr:0.0004461743659027872, train_loss:0.629009, test_loss:0.670762

epoch:101, lr:0.0004448881415054833, train_loss:0.628699, test_loss:0.670244

epoch:102, lr:0.0004435886307790105, train_loss:0.628311, test_loss:0.670330

epoch:103, lr:0.0004422759223163797, train_loss:0.628373, test_loss:0.670763

epoch:104, lr:0.0004409501056103462, train_loss:0.627763, test_loss:0.670011

epoch:105, lr:0.00043961127104730826, train_loss:0.627733, test_loss:0.669669

epoch:106, lr:0.0004382595099011452, train_loss:0.627224, test_loss:0.669723

epoch:107, lr:0.0004368949143269948, train_loss:0.627415, test_loss:0.669940

epoch:108, lr:0.00043551757735497097, train_loss:0.626879, test_loss:0.669609

epoch:109, lr:0.0004341275928838211, train_loss:0.627091, test_loss:0.668904

